description,qtd_gram,kcal,protein,lipids,saturated,monoinsat,polinsat,omega_6,omega_3,colesterol,cho,fiber,calcium,mg,mn,p,iron,sodium,potassium,copper,zinco,retinol,tiamina,riboflavina,piridoxina,niacina,vitamin_c,eq_niacina,cobalamina,folato,vitamin_d,vitamin_e,trans,sodium_add,selenio,vitamin_a,sugar_total,sugar_add
ARROZ INTEGRAL ORGANICO,100,"130,95","2,56","1,97","0,45","0,62","0,86","0,80","0,08",.,"25,56","2,72","5,15","58,13","0,62","104,82","0,26","1,23","74,42","0,02","0,68",.,"0,08",.,"0,08",.,.,.,.,.,.,"0,08","0,01","282,00","0,45",.,.,.
FEIJAO SOJA ORGANICO,100,"196,34","16,64","11,61","1,71","2,58","6,59","5,81","0,78",.,"9,93","6,00","102,00","86,00","0,82","245,00","5,14","1,00","515,00","0,41","1,15",.,"0,16","0,29","0,23","0,40","1,70","4,43",.,"54,00",.,"0,57","0,01","219,00","8,51","0,42","0,80",.
QUINOA,100,"135,47","4,37","4,33","0,60","1,06","2,44","2,17","0,25",.,"19,83","2,16","16,57","61,58","0,63","141,28","1,41","4,27","174,05","0,19","0,97",.,"0,11","0,10","0,15","0,47",.,"1,27",.,"56,88",.,"0,96","0,01","374,00","3,75","0,22","1,89",.
BATATA-INGLESACRU(A),100,"86,00","1,71","0,10","0,03","0,00","0,04","0,03","0,01",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,06",.,"242,00","0,30","0,17","0,86",.
BATATA-INGLESACOZIDO(A),100,"86,00","1,71","0,10","0,03","0,00","0,04","0,03","0,01",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,06",.,"242,00","0,30","0,17","0,86",.
BATATA-INGLESAGRELHADO(A)/BRASA/CHURRASCO,100,"86,00","1,71","0,10","0,03","0,00","0,04","0,03","0,01",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,06",.,"242,00","0,30","0,17","0,86",.
BATATA-INGLESAASSADO(A),100,"86,00","1,71","0,10","0,03","0,00","0,04","0,03","0,01",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,06",.,"242,00","0,30","0,17","0,86",.
BATATA-INGLESAFRITO(A),100,"263,50","2,87","13,64","2,15","3,07","7,85","6,92","0,93",.,"33,60","3,44","13,43","33,58","0,24","67,17","0,53","8,40","550,76","0,28","0,46",.,"0,17","0,03","0,45","2,20","12,43","2,96",.,"15,11",.,"1,20","0,07","380,00","6,68","0,28","1,44",.
BATATA-INGLESAREFOGADO(A),100,"111,74","1,71","3,01","0,48","0,67","1,72","1,52","0,21",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,30","0,02","242,00","1,63","0,17","0,86",.
BATATA-INGLESAMOLHO VERMELHO,100,"73,60","1,63","0,12","0,03","0,01","0,05","0,04","0,01",.,"17,08","1,94","9,00","19,20","0,13","37,20","0,45","108,80","328,60","0,16","0,26",.,"0,08","0,03","0,24","1,25","7,32","1,64",.,"9,40",.,"0,33",.,"242,00","0,28","3,62","1,54",.
BATATA-INGLESA MOLHO BRANCO,100,"101,39","2,15","2,57","1,55","0,64","0,15","0,12","0,03","6,83","17,86","1,68","29,28","18,31","0,12","51,69","0,32","24,92","292,45","0,14","0,31","20,70","0,10","0,06","0,22","1,15","5,92","1,78","0,09","10,80","0,23","0,11","0,10","242,00","1,41","21,21","1,72",.
BATATA-INGLESAAO ALHO E OLEO,100,"263,50","2,87","13,64","2,15","3,07","7,85","6,92","0,93",.,"33,60","3,44","13,43","33,58","0,24","67,17","0,53","8,40","550,76","0,28","0,46",.,"0,17","0,03","0,45","2,20","12,43","2,96",.,"15,11",.,"1,20","0,07","380,00","6,68","0,28","1,44",.
BATATA-INGLESACOM MANTEIGA/OLEO,100,"111,74","1,71","3,01","0,48","0,67","1,72","1,52","0,21",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,30","0,02","242,00","1,63","0,17","0,86",.
BATATA-INGLESAENSOPADO,100,"111,74","1,71","3,01","0,48","0,67","1,72","1,52","0,21",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,30","0,02","242,00","1,63","0,17","0,86",.
BATATA-INGLESASOPA,100,"31,44","0,95","0,12","0,04","0,03","0,03","0,03","0,01",.,"7,01","0,71","8,56","6,35","0,07","15,76","0,29","310,43","88,32","0,04","0,12",.,"0,03","0,03","0,04","0,51","2,10","0,67","0,02","9,28",.,"0,20","0,00",.,"1,34","33,48","3,28","2,52"
BATATA-INGLESA,100,"86,00","1,71","0,10","0,03","0,00","0,04","0,03","0,01",.,"20,01","2,05","8,00","20,00","0,14","40,00","0,31","5,00","328,00","0,17","0,27",.,"0,10","0,02","0,27","1,31","7,40","1,76",.,"9,00",.,"0,06",.,"242,00","0,30","0,17","0,86",.
MANDIOQUINHA SALSA (BATATA BAROA)COZIDO(A),100,"76,00","1,37","0,14","0,03",.,"0,06","0,06",.,.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"0,94",.,"148,00","0,20","787,00","5,74",.
MANDIOQUINHA SALSA (BATATA BAROA)REFOGADO(A),100,"91,74","1,37","1,92","0,29","0,41","1,09","0,97","0,12",.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"1,10",.,"148,00","1,02","787,00","5,74",.
MANDIOQUINHA SALSA (BATATA BAROA)ENSOPADO,100,"91,74","1,37","1,92","0,29","0,41","1,09","0,97","0,12",.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"1,10",.,"148,00","1,02","787,00","5,74",.
MANDIOQUINHA SALSA (BATATA BAROA),100,"76,00","1,37","0,14","0,03",.,"0,06","0,06",.,.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"0,94",.,"148,00","0,20","787,00","5,74",.
