description,qtd_gram,kcal,protein,lipids,saturated,monoinsat,polinsat,omega_6,omega_3,colesterol,cho,fiber,calcium,mg,mn,p,iron,sodium,potassium,copper,zinco,retinol,tiamina,riboflavina,piridoxina,niacina,vitamin_c,eq_niacina,cobalamina,folato,vitamin_d,vitamin_e,trans,sodium_add,selenio,vitamin_a,sugar_total,sugar_add
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)MOLHO BRANCO",100,"140,05","20,81","5,11","2,32","1,30","1,06","0,45","0,09","68,33","1,47","0,07","27,08","48,76","0,07","254,53","1,60","92,80","321,15","0,06","0,67","45,47","0,08","0,13","0,21","1,96","1,72","5,86","6,40","11,51","1,00","0,72","0,11","333,00","49,41","47,69","0,39",.
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)ENSOPADO",100,"139,66","24,16","4,09","0,73","0,87","2,13","1,32","0,19","68,00",.,.,"18,00","58,00","0,02","289,00","0,34","105,00","344,00","0,03","0,63","13,00","0,08","0,11","0,24","2,18",.,"6,70","2,51","9,00","1,10","0,90",.,"333,00","59,37","13,00",.,.
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)COZIDO(A)",100,"117,00","24,16","1,53","0,36","0,28","0,65","0,01","0,02","68,00",.,.,"18,00","58,00","0,02","289,00","0,34","105,00","344,00","0,03","0,63","13,00","0,08","0,11","0,24","2,18",.,"6,70","2,51","9,00","1,10","0,66",.,.,"58,20","13,00",.,.
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)GRELHADO(A)/BRASA/CHURRASCO",100,"117,00","24,16","1,53","0,36","0,28","0,65","0,01","0,02","68,00",.,.,"18,00","58,00","0,02","289,00","0,34","105,00","344,00","0,03","0,63","13,00","0,08","0,11","0,24","2,18",.,"6,70","2,51","9,00","1,10","0,66",.,.,"58,20","13,00",.,.
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)ASSADO(A)",100,"117,00","24,16","1,53","0,36","0,28","0,65","0,01","0,02","68,00",.,.,"18,00","58,00","0,02","289,00","0,34","105,00","344,00","0,03","0,63","13,00","0,08","0,11","0,24","2,18",.,"6,70","2,51","9,00","1,10","0,66",.,.,"58,20","13,00",.,.
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)FRITO(A)",100,"139,66","24,16","4,09","0,73","0,87","2,13","1,32","0,19","68,00",.,.,"18,00","58,00","0,02","289,00","0,34","105,00","344,00","0,03","0,63","13,00","0,08","0,11","0,24","2,18",.,"6,70","2,51","9,00","1,10","0,90",.,.,"59,37","13,00",.,.
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)EMPANADO(A)/A MILANESA",100,"155,84","24,62","4,14","0,74","0,88","2,15","1,34","0,19","68,00","3,39","0,14","18,67","58,98","0,05","293,80","0,55","105,09","348,76","0,03","0,66","13,00","0,11","0,14","0,24","2,44",.,"7,05","2,51","18,07","1,10","0,90",.,.,"60,88","13,00","0,01",.
AZEITONA,100,"145,00","1,03","15,32","2,03","11,31","1,31","1,22","0,09",.,"3,84","3,30","52,00","11,00","0,02","4,00","0,49","1556,00","42,00","0,12","0,04",.,"0,02","0,01","0,03","0,24",.,"0,24",.,"3,00",.,"3,81",.,.,"0,90","19,67",.,.
ERVILHA EM CONSERVA,100,"69,00","4,42","0,35","0,06","0,03","0,16","0,13","0,03",.,"12,58","4,10","20,00","17,00","0,30","67,00","0,95","252,00","173,00","0,08","0,71",.,"0,12","0,08","0,06","0,73","9,60","1,23",.,"44,00",.,"0,03",.,.,"1,70","26,67","4,16",.
PETIT POIS,100,"69,00","4,42","0,35","0,06","0,03","0,16","0,13","0,03",.,"12,58","4,10","20,00","17,00","0,30","67,00","0,95","252,00","173,00","0,08","0,71",.,"0,12","0,08","0,06","0,73","9,60","1,23",.,"44,00",.,"0,03",.,.,"1,70","26,67","4,16",.
MILHO VERDE EM CONSERVA,100,"81,00","2,64","0,93","0,17","0,23","0,45","0,41","0,02",.,"18,80","1,90","5,00","15,00","0,14","48,00","0,72","298,00","135,00","0,05","0,37",.,"0,02","0,05","0,07","0,38","0,70","0,79",.,"43,00",.,"0,07",.,.,"0,70","2,29","3,04",.
PALMITO EM CONSERVA,100,"28,00","2,52","0,62","0,13","0,10","0,20","0,18","0,02",.,"4,62","2,40","58,00","38,00","1,39","65,00","3,13","426,00","177,00","0,13","1,15",.,"0,01","0,06","0,02","0,44","7,90","0,82",.,"39,00",.,"0,50",.,.,"0,70",.,.,.
COGUMELO EM CONSERVA,100,"50,74","1,87","3,20","0,49","0,67","1,80","1,60","0,20",.,"5,09","2,40","11,00","15,00","0,09","66,00","0,79","425,00","129,00","0,24","0,72",.,"0,09","0,02","0,06","1,59",.,"1,94",.,"12,00","0,53","0,25","0,02",.,"5,43",.,"1,44",.
CHAMPIGNON EM CONSERVA,100,"50,74","1,87","3,20","0,49","0,67","1,80","1,60","0,20",.,"5,09","2,40","11,00","15,00","0,09","66,00","0,79","425,00","129,00","0,24","0,72",.,"0,09","0,02","0,06","1,59",.,"1,94",.,"12,00","0,53","0,25","0,02",.,"5,43",.,"1,44",.
ASPARGO EM CONSERVA,100,"19,00","2,14","0,65","0,15","0,02","0,28","0,27","0,02",.,"2,46","1,60","16,00","10,00","0,17","43,00","1,83","287,00","172,00","0,10","0,40",.,"0,06","0,10","0,11","0,95","18,40","1,30",.,"96,00",.,"1,22",.,.,"1,70","41,08","1,10",.
REPOLHO EM CONSERVA,100,"19,00","0,91","0,14","0,03","0,01","0,07","0,03","0,03",.,"4,28","2,90","30,00","13,00","0,15","20,00","1,47","661,00","170,00","0,10","0,19",.,"0,02","0,02","0,13","0,14","14,70","0,28",.,"24,00",.,"0,14",.,.,"0,60","0,88","0,18",.
CHUCRUTE,100,"19,00","0,91","0,14","0,03","0,01","0,07","0,03","0,03",.,"4,28","2,90","30,00","13,00","0,15","20,00","1,47","661,00","170,00","0,10","0,19",.,"0,02","0,02","0,13","0,14","14,70","0,28",.,"24,00",.,"0,14",.,.,"0,60","0,88","0,18",.
LEGUME NAO ESPECIFICADO EM CONSERVA,100,"47,00","2,53","0,26","0,05","0,01","0,12","0,10","0,01",.,"9,06","2,80","22,65","12,51","0,37","45,50","0,79","482,78","176,05","0,09","0,48",.,"0,07","0,05","0,08","0,63","6,15","0,80",.,"26,75",.,"0,39",.,.,"1,05","292,67","3,20",.
CREME DE CEBOLA (SOPA DESIDRATADA),100,"46,31","0,82","2,47","0,79","0,84","0,69","0,66","0,03","5,95","5,34","0,20","59,19","7,77","0,04","43,22","0,16","374,69","89,41","0,02","0,22","14,68","0,04","0,07","0,04","0,15","1,26","0,36","0,08","7,51","0,02","0,25","0,29",.,"1,89","15,17","2,67",.
CREME DE LEGUMES (SOPA DESIDRATADA),100,"10,55","0,48","0,02","0,00","0,00","0,01","0,01","0,00",.,"2,15","0,23","6,52","3,03","0,03","6,30","0,07","289,56","22,68","0,02","0,05",.,"0,01","0,01","0,02","0,08","1,59","0,17",.,.,.,"0,03",.,.,"0,43","14,02","0,37",.
YAKISSOBA ,100,"527,00","8,38","30,76","4,38","7,69","17,33","15,35","1,98",.,"57,54","3,90","20,00","52,00","1,36","161,00","4,73","439,00","120,00","0,17","1,40",.,"0,58","0,42","0,11","5,95",.,"7,73",.,.,.,"3,48",.,.,"43,00","0,08","1,53",.
MILHO VERDE COM ERVILHA EM CONSERVACRU(A),100,"79,52","3,83","0,47","0,08","0,11","0,23","0,21","0,02",.,"16,81","2,96","13,37","25,04","0,22","78,01","0,99","36,06","172,26","0,08","0,65",.,"0,16","0,08","0,11","1,39","6,66","1,94",.,.,.,"0,05",.,"233,00","0,85","56,89","3,85",.
MILHO VERDE COM ERVILHA EM CONSERVACOZIDO(A),100,"79,52","3,83","0,47","0,08","0,11","0,23","0,21","0,02",.,"16,81","2,96","13,37","25,04","0,22","78,01","0,99","36,06","172,26","0,08","0,65",.,"0,16","0,08","0,11","1,39","6,66","1,94",.,.,.,"0,05",.,"233,00","0,85","56,89","3,85",.
MILHO VERDE COM ERVILHA EM CONSERVAFRITO(A),100,"79,52","3,83","0,47","0,08","0,11","0,23","0,21","0,02",.,"16,81","2,96","13,37","25,04","0,22","78,01","0,99","36,06","172,26","0,08","0,65",.,"0,16","0,08","0,11","1,39","6,66","1,94",.,.,.,"0,05",.,"233,00","0,85","56,89","3,85",.
MILHO VERDE COM ERVILHA EM CONSERVA,100,"79,52","3,83","0,47","0,08","0,11","0,23","0,21","0,02",.,"16,81","2,96","13,37","25,04","0,22","78,01","0,99","36,06","172,26","0,08","0,65",.,"0,16","0,08","0,11","1,39","6,66","1,94",.,.,.,"0,05",.,"233,00","0,85","56,89","3,85",.
FEIJOADA,100,"181,59","11,11","7,90","2,49","3,05","1,66","1,40","0,23","16,27","16,92","5,68","26,73","49,60","0,30","140,25","1,82","353,09","327,86","0,16","1,57","1,00","0,27","0,09","0,13","1,37","6,98","3,46","0,27","100,16","0,16","0,75","0,07",.,"8,35","2,77","2,67","0,46"
FEIJAO BRANCO COM DOBRADINHA EM CONSERVA,100,"136,38","10,68","5,91","1,77","2,28","1,06","0,89","0,10","78,48","10,20","2,33","70,29","30,65","0,28","88,03","1,73","332,22","260,04","0,11","1,46","1,32","0,08","0,05","0,09","0,99","3,04","2,49","0,45","30,17",.,"0,55","0,11",.,"6,14","4,54","0,54",.
COZIDO,100,"87,33","5,61","3,79","1,30","1,67","0,41","0,35","0,05","12,75","7,93","1,74","18,40","15,65","0,20","66,61","0,89","298,29","190,65","0,10","1,06",.,"0,10","0,07","0,14","1,05","8,57","2,07","0,39","28,91","0,14","0,20","0,08",.,"5,42","39,45","1,16","0,02"
PASTA DE CARNE EM CONSERVA,100,"245,65","9,89","16,89","4,48","5,83","4,96","4,38","0,53","39,86","14,10","0,17","12,47","9,38","0,01","81,19","0,83","800,10","109,37","0,05","1,56","14,06","0,08","0,10","0,18","2,18","0,14","4,13","0,52","2,60","0,28","0,69","0,26",.,"10,63","22,73","8,54","12,12"
PASTA DE PRESUNTO EM CONSERVA,100,"276,46","17,86","21,43","7,26","9,52","2,80","2,45","0,14","67,32","1,80",.,"20,29","14,28","0,01","143,33","1,47","1019,37","198,91","0,11","2,42","26,83","0,30","0,19","0,17","4,05",.,"7,57","0,56","5,22","0,53","0,24","0,16",.,"30,15","26,83","1,80","1,80"
PASTA DE GALINHA EM CONSERVA,100,"214,36","16,39","14,53","3,89","6,36","3,08","2,79","0,15","52,35","3,66","0,25","18,17","15,07","0,05","106,11","0,97","706,46","158,58","0,06","0,85","19,03","0,04","0,08","0,17","4,02","1,02","6,88","0,13","6,34","0,22","0,22","0,72",.,"12,11","19,04","0,66",.
CARNE BOVINA EM CONSERVA,100,"242,00","24,22","15,42","5,74","7,00","0,61","0,42","0,16","75,00",.,.,"8,19","20,01","0,00","196,00","2,81","367,77","337,06","0,09","5,71",.,"0,08","0,23","0,26","3,21",.,"7,57","2,83","9,00","0,70","0,14","0,68",.,"28,30",.,.,.
ALMONDEGA ,100,"214,85","20,64","9,20","3,48","3,64","0,68","0,57","0,06","103,27","11,00","0,76","56,01","22,98","0,15","180,27","2,66","153,28","278,32","0,10","4,62","26,25","0,16","0,24","0,27","4,18","0,83","6,50","1,82","31,26","0,58","0,39","0,46",.,"20,68","26,48","2,24","1,55"
KITUTE BOVINO,100,"242,00","24,22","15,42","5,74","7,00","0,61","0,42","0,16","75,00",.,.,"8,19","20,01","0,00","196,00","2,81","367,77","337,06","0,09","5,71",.,"0,08","0,23","0,26","3,21",.,"7,57","2,83","9,00","0,70","0,14","0,68",.,"28,30",.,.,.
ALMONDEGA AO MOLHO EM CONSERVA,100,"203,52","16,16","10,72","4,03","4,67","0,60","0,51","0,05","81,81","9,70","0,91","56,75","21,77","0,14","156,16","2,16","246,54","313,65","0,10","3,40","20,41","0,13","0,21","0,27","3,52","2,14","5,03","1,64","29,63","0,41","0,64","0,58","307,00","16,33","24,30","2,67","1,21"
KITUTE SUINO,100,"178,00","22,62","9,02","3,12","4,44","1,41","1,17","0,24","59,00",.,.,"8,00","22,00","0,04","281,00","1,34","1500,00","409,00","0,15","2,47",.,"0,73","0,33","0,31","6,15",.,"10,12","0,70","3,00","0,80","0,31","0,03",.,"19,80",.,.,.
PRESUNTADA,100,"178,00","22,62","9,02","3,12","4,44","1,41","1,17","0,24","59,00",.,.,"8,00","22,00","0,04","281,00","1,34","1500,00","409,00","0,15","2,47",.,"0,73","0,33","0,31","6,15",.,"10,12","0,70","3,00","0,80","0,31","0,03",.,"19,80",.,.,.
FIAMBRE CRU(A),100,"178,00","22,62","9,02","3,12","4,44","1,41","1,17","0,24","59,00",.,.,"8,00","22,00","0,04","281,00","1,34","1500,00","409,00","0,15","2,47",.,"0,73","0,33","0,31","6,15",.,"10,12","0,70","3,00","0,80","0,31","0,03",.,"19,80",.,.,.
FIAMBRE COZIDO(A),100,"178,00","22,62","9,02","3,12","4,44","1,41","1,17","0,24","59,00",.,.,"8,00","22,00","0,04","281,00","1,34","1500,00","409,00","0,15","2,47",.,"0,73","0,33","0,31","6,15",.,"10,12","0,70","3,00","0,80","0,31","0,03",.,"19,80",.,.,.
FIAMBRE ASSADO(A),100,"178,00","22,62","9,02","3,12","4,44","1,41","1,17","0,24","59,00",.,.,"8,00","22,00","0,04","281,00","1,34","1500,00","409,00","0,15","2,47",.,"0,73","0,33","0,31","6,15",.,"10,12","0,70","3,00","0,80","0,31","0,03",.,"19,80",.,.,.
FIAMBRE FRITO(A),100,"178,00","22,62","9,02","3,12","4,44","1,41","1,17","0,24","59,00",.,.,"8,00","22,00","0,04","281,00","1,34","1500,00","409,00","0,15","2,47",.,"0,73","0,33","0,31","6,15",.,"10,12","0,70","3,00","0,80","0,31","0,03",.,"19,80",.,.,.
SALSICHA EM CONSERVA,100,"269,08","8,30","25,81","8,28","11,14","4,53","4,15","0,20","46,45","0,27","0,01","17,10","8,37","0,01","75,96","0,58","752,81","100,58","0,04","1,04","18,44","0,08","0,09","0,10","2,00","0,00","3,62","0,27","1,79","0,27","0,41","0,29",.,"9,12","18,44","0,21","0,17"
SARDINHA EM CONSERVA,100,"208,00","24,62","11,45","1,53","3,87","5,15","3,54","0,50","142,00",.,.,"382,00","39,00","0,11","490,00","2,92","505,00","397,00","0,19","1,31","32,00","0,08","0,23","0,17","5,25",.,"9,85","8,94","12,00","6,80","2,04",..,.,"52,70","32,00",.,.
ATUM EM CONSERVA,100,"198,00","29,13","8,21","1,53","2,95","2,89","2,68","0,07","18,00",.,.,"13,00","31,00","0,02","311,00","1,39","354,00","207,00","0,07","0,90","23,00","0,04","0,12","0,11","12,40",.,"17,83","2,20","5,00","5,90","0,87",.,.,"76,00","23,00",.,.
PEPINO EM CONSERVA,100,"12,00","0,60","0,14","0,04","0,00","0,06","0,02","0,03",.,"2,59","1,10","42,00","7,00","0,05","12,00","0,37","875,00","92,00","0,03","0,11",.,"0,03","0,03","0,02","0,10","0,80","0,18",.,"1,00",.,"0,09",.,.,"0,10","9,17","1,31",.
PASTA DE PEIXE EM CONSERVA,100,"198,00","29,13","8,21","1,53","2,95","2,89","2,68","0,07","18,00",.,.,"13,00","31,00","0,02","311,00","1,39","354,00","207,00","0,07","0,90","23,00","0,04","0,12","0,11","12,40",.,"17,83","2,20","5,00","5,90","0,87",.,.,"76,00","23,00",.,.
PICLES,100,"12,00","0,60","0,14","0,04","0,00","0,06","0,02","0,03",.,"2,59","1,10","42,00","7,00","0,05","12,00","0,37","875,00","92,00","0,03","0,11",.,"0,03","0,03","0,02","0,10","0,80","0,18",.,"1,00",.,"0,09",.,.,"0,10","9,17","1,31",.
NABO EM CONSERVA,100,"43,26","0,87","0,19","0,02","0,07","0,06","0,02","0,04",.,"9,94","1,59","24,58","10,18","0,13","25,37","0,28","195,30","163,65","0,06","0,23",.,"0,04","0,03","0,10","0,36","22,98","0,53",.,"15,55",.,"0,13",.,.,"0,85","9,89","8,56","3,97"
STROGONOFF ,100,"147,68","12,83","9,11","3,81","2,98","1,53","1,29","0,23","33,44","4,13","0,44","25,13","12,81","0,05","106,16","1,33","354,23","198,48","0,10","2,13","31,98","0,06","0,14","0,19","2,93","1,44","4,46","0,70","11,92","0,41","0,47","0,29",.,"15,24","33,64","1,60","0,38"
SALMAO EM CONSERVA,100,"136,00","23,08","4,83","0,85","0,89","1,35","0,07","0,06","82,00",.,.,"277,00","34,00","0,04","365,00","0,90","399,00","311,00","0,16","1,09","23,00","0,03","0,20","0,11","7,41",.,"11,53","4,95","4,00","11,65","1,28",.,.,"39,50","23,00",.,.
CREME DE CEBOLA (SOPA DESIDRATADA) LIGHT,100,"46,31","0,82","2,47","0,79","0,84","0,69","0,66","0,03","5,95","5,34","0,20","59,19","7,77","0,04","43,22","0,16","374,69","89,41","0,02","0,22","14,68","0,04","0,07","0,04","0,15","1,26","0,36","0,08","7,51","0,02","0,25","0,29",.,"1,89","15,17","2,67",.
CREME DE LEGUMES (SOPA DESIDRATADA) LIGHT,100,"10,55","0,48","0,02","0,00","0,00","0,01","0,01","0,00",.,"2,15","0,23","6,52","3,03","0,03","6,30","0,07","289,56","22,68","0,02","0,05",.,"0,01","0,01","0,02","0,08","1,59","0,17",.,"2,38",.,"0,03",.,.,"0,43","14,02","0,37",.
YAKISSOBA (SOPA DE LEGUMES DESIDRATADA) LIGHT,100,"80,04","3,01","0,47","0,09","0,07","0,16","0,15","0,01",.,"15,61","0,97","7,41","10,70","0,17","30,95","0,67","398,23","30,62","0,06","0,28",.,"0,14","0,07","0,03","0,86","0,23","1,57",.,"62,66",.,"0,04",.,.,"13,19","5,07","0,35",.
ATUM EM CONSERVA LIGHT,100,"116,00","25,51","0,82","0,23","0,16","0,34","0,01","0,00","30,00",.,.,"11,00","27,00","0,01","163,00","1,53","338,00","237,00","0,05","0,77","17,00","0,03","0,07","0,35","13,28",.,"18,05","2,99","4,00","4,00","0,33",.,.,"80,40","17,00",.,.
FRANGO INTEIROCRU(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO INTEIROCOZIDO(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO INTEIROGRELHADO(A)/BRASA/CHURRASCO,100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO INTEIROASSADO(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO INTEIROFRITO(A),100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
FRANGO INTEIROEMPANADO(A)/A MILANESA,100,"277,84","27,76","16,21","4,20","5,93","4,47","3,89","0,29","88,00","3,39","0,14","15,67","23,98","0,05","186,80","1,47","82,09","227,76","0,07","1,97","48,00","0,10","0,19","0,40","8,75",.,"13,93","0,30","14,07","0,30","0,48","0,46","333,00","26,58","48,00","0,01",.
FRANGO INTEIROREFOGADO(A),100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
FRANGO INTEIROMOLHO VERMELHO,100,"196,00","22,10","10,92","3,04","4,28","2,39","2,07","0,09","70,40","1,08","0,30","14,60","21,60","0,04","150,80","1,21","170,40","244,60","0,08","1,59","38,40","0,06","0,15","0,34","6,99","1,40","11,09","0,24","6,20","0,24","0,50","0,36","333,00","19,16","41,88","0,85",.
FRANGO INTEIROENSOPADO,100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADACRU(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADACOZIDO(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAGRELHADO(A)/BRASA/CHURRASCO,100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAASSADO(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAFRITO(A),100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAEMPANADO(A)/A MILANESA,100,"277,84","27,76","16,21","4,20","5,93","4,47","3,89","0,29","88,00","3,39","0,14","15,67","23,98","0,05","186,80","1,47","82,09","227,76","0,07","1,97","48,00","0,10","0,19","0,40","8,75",.,"13,93","0,30","14,07","0,30","0,48","0,46","333,00","26,58","48,00","0,01",.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAREFOGADO(A),100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAMOLHO VERMELHO,100,"196,00","22,10","10,92","3,04","4,28","2,39","2,07","0,09","70,40","1,08","0,30","14,60","21,60","0,04","150,80","1,21","170,40","244,60","0,08","1,59","38,40","0,06","0,15","0,34","6,99","1,40","11,09","0,24","6,20","0,24","0,50","0,36","333,00","19,16","41,88","0,85",.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADAENSOPADO,100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO EM PEDAÇOSCRU(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO EM PEDAÇOSCOZIDO(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO EM PEDAÇOSGRELHADO(A)/BRASA/CHURRASCO,100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO EM PEDAÇOSASSADO(A),100,"239,00","27,30","13,60","3,79","5,34","2,97","2,57","0,11","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,27","0,45","333,00","23,90","48,00",.,.
FRANGO EM PEDAÇOSFRITO(A),100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
FRANGO EM PEDAÇOSEMPANADO(A)/A MILANESA,100,"277,84","27,76","16,21","4,20","5,93","4,47","3,89","0,29","88,00","3,39","0,14","15,67","23,98","0,05","186,80","1,47","82,09","227,76","0,07","1,97","48,00","0,10","0,19","0,40","8,75",.,"13,93","0,30","14,07","0,30","0,48","0,46","333,00","26,58","48,00","0,01",.
FRANGO EM PEDAÇOSREFOGADO(A),100,"261,66","27,30","16,16","4,19","5,92","4,45","3,88","0,28","88,00",.,.,"15,00","23,00","0,02","182,00","1,26","82,00","223,00","0,07","1,94","48,00","0,06","0,17","0,40","8,49",.,"13,57","0,30","5,00","0,30","0,48","0,46","333,00","25,08","48,00",.,.
FRANGO EM PEDAÇOSMOLHO VERMELHO,100,"196,00","22,10","10,92","3,04","4,28","2,39","2,07","0,09","70,40","1,08","0,30","14,60","21,60","0,04","150,80","1,21","170,40","244,60","0,08","1,59","38,40","0,06","0,15","0,34","6,99","1,40","11,09","0,24","6,20","0,24","0,50","0,36","333,00","19,16","41,88","0,85",.
