Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Frango, peito, sem pele, cozido",100,"162,87","31,47","3,16","1,10","1,10","0,60","0,53","0,02","88,51","0,00",NA,"6,44","13,76",Tr,"224,43","0,34","36,17","231,05","0,02","0,95",Tr,"0,10",Tr,Tr,"7,60",
"Frango, peito, sem pele, cru",100,"119,16","21,53","3,02","1,10","1,30",Tr,"0,02","0,01","58,68","0,00",NA,"7,36","31,26","0,01","222,03","0,43","56,14","267,09","0,03","0,66","2,00","0,10",Tr,Tr,"5,86",
"Frango, peito, sem pele, grelhado",100,"159,19","32,03","2,48","0,90","0,90","0,30","0,31","0,01","89,12","0,00",NA,"5,34","18,27",Tr,"295,01","0,33","50,25","387,37","0,02","0,78",Tr,"0,11",Tr,Tr,"24,83",
"Frango, sobrecoxa, com pele, assada",100,"259,60","28,70","15,19","4,20","5,40","3,90","3,64","0,21","158,26","0,00",NA,"10,68","14,60",Tr,"252,23","1,21","95,94","323,07","0,06","2,17","8,22","0,10","0,05",Tr,"11,20",
"Frango, sobrecoxa, com pele, crua",100,"254,53","15,46","20,90","6,50","9,60","3,60","3,49","0,12","87,63","0,00",NA,"7,09","21,50","0,01","154,19","0,71","68,27","190,19","0,05","1,31","6,59","0,09","0,06",Tr,"3,40",
"Frango, sobrecoxa, sem pele, assada",100,"232,88","29,18","12,01","3,30","4,20","3,10","2,86","0,17","145,11","0,00",NA,"12,25","17,23",Tr,"281,34","1,17","106,08","382,21","0,07","2,18","10,70","0,10","0,05",Tr,"10,20",
"Frango, sobrecoxa, sem pele, crua",100,"161,80","17,57","9,62","3,00","4,50","1,60","1,50","0,04","84,09","0,00",NA,"6,29","26,33","0,02","187,29","0,90","79,75","241,09","0,06","1,67","3,92","0,12","0,06",Tr,"4,06",
"Hambúrguer, bovino, cru",100,"214,84","13,16","16,18","5,70","5,80","0,80","0,71","0,09","70,01","4,15",*,"34,06","24,52","0,36","140,72","1,89","869,46","382,59","0,16","1,70",Tr,"0,06","0,08","0,04","3,53",
"Hambúrguer, bovino, frito",100,"258,28","19,97","17,01","5,90","6,00","3,70","3,31","0,31","48,90","6,32",*,"62,39","59,70","0,52","324,46","3,02","1251,80","660,09","0,17","3,18",Tr,"0,13","0,06",Tr,"2,73",
"Hambúrguer, bovino, grelhado",100,"209,83","13,16","12,43","5,10","4,80","1,20","1,12","0,12","58,53","11,33",*,"56,21","47,57","0,40","262,67","2,64","1090,33","537,56","0,18","3,02",Tr,"0,18","0,06",Tr,"5,77",
"Lingüiça, frango, crua",100,"218,11","14,24","17,44","5,20","7,30","3,50","3,08","0,17","64,13","0,00",NA,"10,84","18,97","0,05","181,51","0,47","1125,81","279,73","0,05","0,69",Tr,"0,11","0,05",Tr,"4,60",
"Lingüiça, frango, frita",100,"245,46","18,32","18,54","5,00","7,20","4,30","3,94","0,25","75,79","0,00",NA,"15,48","29,19","0,10","262,07","0,79","1373,89","363,79","0,04","1,16",Tr,"0,11","0,05",Tr,"5,67",
"Lingüiça, frango, grelhada",100,"243,66","18,19","18,40","4,70","6,80","3,40","3,09","0,17","80,48","0,00",NA,"13,93","21,10","0,10","228,02","0,72","1351,49","356,00","0,09","1,03",Tr,"0,12","0,04",Tr,"5,97",
"Lingüiça, porco, crua",100,"227,20","16,06","17,58","4,00","5,00","1,70","1,54","0,05","52,93","0,00",NA,"6,13","14,05","0,01","157,48","0,44","1175,72","316,33","0,04","1,36",Tr,"0,49","0,05",Tr,"2,60",
"Lingüiça, porco, frita",10,"27,95","2,05","2,13","0,65","0,82","0,27","0,25","0,01","7,47","0,00",NA,"0,85","1,82","0,00","21,08","0,09","143,16","40,89","0,01","0,31",Tr,"0,04","0,01",Tr,"0,58",
