Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Amêndoa, torrada, salgada",100,"580,75","18,55","47,32","4,80","32,30","16,20","16,17","0,03",NA,"29,55","11,64","236,70","222,10","1,95","493,06","3,06","278,52","639,60","0,93","2,58",NA,"0,29","0,16",Tr,Tr,Tr
"Castanha-de-caju, torrada, salgada",100,"570,17","18,51","46,28","7,70","26,50","8,10","8,00","0,08",NA,"29,13","3,66","32,59","236,61","1,59","594,22","5,22","125,00","671,46","1,92","4,72",NA,"0,29","0,05","0,39",Tr,Tr
"Castanha-do-Brasil, crua",100,"642,96","14,54","63,46","15,30","27,40","21,00","20,97","0,04",NA,"15,08","7,93","146,34","365,12","1,10","853,28","2,31","0,65","650,99","1,79","4,22",NA,"0,30",Tr,"0,44",Tr,Tr
"Coco, cru",100,"406,49","3,69","41,98","30,00","1,50","0,30","0,32",,NA,"10,40","5,38","6,48","51,46","1,00","117,54","1,76","15,32","354,15","0,45","0,94",NA,Tr,Tr,"0,03",Tr,"2,49"
"Coco,  verde, cru",100,*,*,*,"3,14","1,15","0,28","0,28",,*,*,*,*,*,*,*,*,*,*,*,*,NA,*,*,*,*,*
"Farinha, de mesocarpo de babaçu, crua",100,"328,77","1,41","0,20",,,,,,NA,"79,17","17,86","60,95","39,35","0,38","25,56","18,33","12,46","362,07","0,22","0,34",NA,Tr,Tr,Tr,"2,58",Tr
"Gergelim, semente",100,"583,55","21,16","50,43","7,80","19,90","22,50","22,39","0,16",NA,"21,62","11,87","825,45","360,69","2,67","740,71","5,45","2,58","546,29","1,51","5,24",NA,"0,94",Tr,"0,13","5,92",Tr
"Linhaça, semente",100,"495,10","14,08","32,25","4,20","7,10","25,30","5,42","19,81",NA,"43,31","33,50","211,50","346,92","2,81","615,18","4,70","8,67","869,29","1,09","4,39",NA,"0,12",Tr,"0,13",Tr,Tr
"Pinhão, cozido",100,"174,37","2,98","0,75","0,30","0,10","0,20","0,22",,NA,"43,92","15,60","15,77","52,97","0,41","165,84","0,76","0,86","727,01","0,18","0,83",NA,Tr,Tr,Tr,Tr,"27,69"
"Pupunha, cozida",100,"218,53","2,52","12,76","3,07","6,78","0,36","0,28","0,08",NA,"29,57","4,25","27,59","25,29","0,13","48,77","0,52","0,91","303,36","0,28","0,29",NA,Tr,"0,09","0,03",Tr,"2,18"
"Noz, crua",100,"620,06","13,97","59,36","5,60","8,70","44,10","35,30","8,82",NA,"18,36","7,25","105,31","152,89","4,05","396,28","2,04","4,57","533,26","0,75","2,06",NA,"0,38",Tr,"0,13","1,08",Tr
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legenda,,,,,,,,,,,,,,,,,,,,,,,,,,,
(*) As análises estão sendo reavaliadas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valores em branco nesta tabela: análises não solicitadas,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Teores alcoólicos (g/100g): ¹ Cana, aguardente: 31,1 e ² Cerveja, pilsen: 3,6.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abreviações: (g) grama; (mg) micrograma; (kcal) kilocaloria; (kJ) kilojoule; (mg)miligrama; (NA) não aplicável; (Tr) traço. Adotou-se traço nas seguintes situações: a)valores de nutrientes arredondados para números que caiam entre 0 e 0,5; b) valores de nutrientes arredondados para números com uma casa decimal que caiam entre 0 e 0,05; c) valores de nutrientes arredondados para números com duas casas decimais que caiam entre 0 e 0,005 e; d) valores abaixo dos limites de quantificação (29).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limites de Quantificação: a) composição centesimal: 0,1g/100g; b) colesterol: 1mg/100g; c) Cu, Fe, Mn, e Zn: 0,001mg/100g; d) Ca, Na: 0,04mg/100g; e) K e P: 0,001mg/100g; f) Mg 0,015mg/100g; g) tiamina, riboflavina e piridoxina: 0,03mg/100g; h) niacina e vitamina C: 1mg/100g; i) retinol em produtos cárneos e outros: 3μg/100g e; j) retinol em lácteos: 20μg/100g.",,,,,,,,,,,,,,,,,,,,,,,,,,,
